id	name	country	bday
1382	Jian Fei Wang 	Canada	1991-04-19
1383	Krzysztof Nalepka 	Poland	1987-12-06
1384	Grzegorz Kordek 	Poland	1987-06-14
1385	Cristóbal Lledó 	Chile	1992-06-23
1386	Rafal Kontowicz 	Poland	1988-10-28
1387	Egor Kolchin 	Russian Federation	
1388	Zhe Teng 	Canada	
1389	Anton Emmerich 	Germany	1995-02-04
1390	Jose Castro 	Peru	1986-04-01
1391	"Lee, Seong Deok "	"Korea, Republic of"	1985-06-26
1392	"Chang, Du Seop "	"Korea, Republic of"	1988-04-04
1393	Zhuo Zeng 	China	1988-06-15
1394	Daniel Claesson 	Sweden	1989-08-04
1395	Hjalmar Högberg 	Sweden	1991-06-18
1396	Magnus Olsson 	Sweden	1984-04-14
1397	Piki Poki 	Poland	
1398	Tassilo Teppert 	Germany	
1399	Lari Laitinen 	Finland	
1400	Fredrik Knopf 	Sweden	1989-09-11
1401	Fredrik Nordgren 	Sweden	
1402	"Huang, Xiang "	China	1989-03-20
1403	Ryan Hrycznski 	Canada	
1404	Strieb Roman 	Canada	
1405	Ben Cardwell 	United States	1990-12-21
1406	Dan Bradham 	United States	
1407	Chance Lacina 	United States	1984-03-30
1408	Josh Remington 	United States	
1409	Brian Flander 	United States	1982-01-19
1410	Pierre Guivarch 	France	
1411	Robert Kopczynski 	Poland	1987-07-02
1412	Michael Hindersson 	Sweden	1987-02-04
1413	Alexandre Fouchet 	France	1987-08-24
1414	Dan Sanders 	United Kingdom	1988-09-10
1415	Dan De Sousa 	Australia	
1416	"Zhou, Cheng Long "	China	
1417	Dan Stemkoski 	United States	1983-04-06
1418	Mateusz Ożga 	Poland	1985-04-29
1419	Bogdan Mazur 	Poland	1985-12-05
1420	Szymon Ożga 	Poland	1985-04-29
1421	Benjamin Jakob 	Germany	1989-01-01
1422	Ben Siebert 	Netherlands	
1423	"Sang Won, Ahn "	"Korea, Republic of"	1991-01-13
1424	"Min Hyuk, Kim "	"Korea, Republic of"	1990-11-16
1425	"Ki Sung, Yoo "	"Korea, Republic of"	1992-06-14
1426	"Ko, Seok Hyun "	"Korea, Republic of"	1988-01-15
1427	"Joon, Lee "	"Korea, Republic of"	1993-06-19
1428	"Yong Hwan, Park "	"Korea, Republic of"	1992-07-09
1429	"Lee, Seung Hyun "	"Korea, Republic of"	1997-01-11
1430	Xiang Hu 	China	1987-10-04
1431	Joonas Ranto 	Finland	
1432	Samu Rihelä 	Finland	1992-03-27
1433	Tuomas Lahtinen 	Finland	1989-05-18
1434	Vijal Patel 	United States	1987-05-28
1435	Sabian Hayblum 	Australia	1989-11-17
1436	Andrew Trulli 	Canada	1987-10-12
1437	Kevin Holowchik 	United States	
1438	William David Ritson 	United States	
1439	Thomas Wall 	Canada	1989-06-10
1440	Mark McGrail 	United States	1985-05-26
1441	Vince Cleveland 	United States	1980-01-01
1442	Greg Paris 	United States	
1443	Brad Galloway 	United States	1985-08-22
1444	Steven Wyckoff 	United States	1985-03-27
1445	Christopher Wiggins 	United States	
1446	Michael Smith 	United States	
1447	Daniel Sturdivant 	United States	
1448	Kyle Mims 	United States	
1449	Jeff Abbott 	United States	
1450	Mikael Tarainen 	Sweden	1982-10-25
1451	Tim Bowes 	United States	
1452	Rafik Bryant 	United States	
1453	Alex Ingarv 	Sweden	1987-06-28
1454	Henrik Björk 	Sweden	1983-01-19
1455	Fredrik Quick 	Sweden	
