id	name	country	bday
3300	Victor García 	Spain	1991-09-09
3301	Jesús Castillo García 	Spain	
3302	Kirian Martínez 	Spain	
3303	Adrian Kryeziu 	Sweden	1995-09-03
3304	Johan Sundstein 	Denmark	1993-10-08
3305	Tal Aizik 	Israel	1993-03-09
3306	Love Brändström 	Sweden	
3307	Adrien Anstaett 	France	
3308	Ramón Meseguer Fructuoso 	Spain	
3309	Yon Mangas Cayetano 	Spain	
3310	Fede Dendi 	Spain	
3311	Jeronimo Pujades 	Spain	
3312	- - 	Spain	
3313	Alexandre Mege 	France	
3314	- - 	Bulgaria	
3315	Mario Martínez García 	Spain	
3316	Martin Morgensen 	Denmark	
3317	Olivier Hay 	France	
3318	Scott Cavallero 	United States	
3319	Rassen Abdou 	France	
3320	"Luo, Chao Qun "	Singapore	1989-04-07
3321	"Lin, Zhiren "	Singapore	1990-11-29
3322	"Lee, Wen Chek "	Malaysia	1988-06-09
3323	"Lee, Vei Siang "	Malaysia	1990-02-06
3324	"Mar, Yung Chia "	Malaysia	1988-08-07
3325	Ben Wu 	United States	1987-10-23
3326	Roman Sadotenkov 	Russian Federation	1991-12-04
3327	Gleb Lipatnikov 	Ukraine	1988-12-04
3328	Vance Wu 	United States	
3329	Brent Werling 	United States	
3330	Job Figueroa 	United States	
3331	Cesar Garcia 	Mexico	
3332	Michael Arvelo 	United States	
3333	"Kang, Myung Gu "	"Korea, Republic of"	
3334	Oscar Oyarzabal 	United States	
3335	Raymond Wong 	Malaysia	
3336	"Lee, Kong Yang "	Malaysia	1991-05-26
3337	Sim Woi Cheong 	Malaysia	
3338	Pern Lim Wai 	Malaysia	1991-10-13
3339	Daniel Wong 	Malaysia	
3340	James Kenneth Valdez 	Philippines	
3341	Julius Deleon 	Philippines	
3342	Ryan Jay Qui 	Philippines	
3343	Joshua dela Serna 	Philippines	
3344	Ralph Richard Peñano 	Philippines	
3345	David Hong 	United States	
3346	Andrew Erickson 	United States	
3347	Daniel Biery 	United States	
3348	Gabriel Charbonneau 	Canada	
3349	Joseph Tsukijima 	Canada	
3350	Robert Lee 	United States	
3351	George Liu 	United States	1989-09-07
3352	Andrew Pham 	United States	
3353	Orie Guo 	United States	
3354	Kevin Wu 	United States	
3355	Nam Truong 	United States	
3356	Martin Lundberg 	Sweden	
3357	Niels Rosenberg 	Denmark	
3358	Viktor Corneliusson 	Sweden	
3359	Jarkko Velinen 	Finland	1990-12-30
3360	Kristian Dimov 	Switzerland	1992-05-02
3361	Juho Rantala 	Finland	1989-07-05
3362	Erik Valderhaug 	Norway	
3363	Sondre Hoppestad 	Norway	
3364	Lasse Jensen 	Norway	
3365	Rumay Wang 	United States	
3366	Bryan Chase 	United States	
3367	Patrick Glinsman 	United States	1994-09-29
3368	Isak Jonason 	Sweden	
3369	Rasmus Tikkanen 	Sweden	
3370	Mathias Ludvigsen 	Norway	
3371	"Wang, June Tsan "	"Taiwan, Republic of China"	1991-05-06
3372	Kuan Po Sung 	"Taiwan, Republic of China"	1988-06-12
3373	"Lau, Kurtis Wai Kin "	Hong Kong	1992-06-29
3374	"Cheng, Bo Wei "	"Taiwan, Republic of China"	1991-06-27
3375	"Chen, Hui Chung "	"Taiwan, Republic of China"	1989-05-13
3376	Nguyễn Trần Tường Vũ 	Viet Nam	1988-03-07
3377	Mai Nhật Tân 	Viet Nam	1991-11-24
3378	Trần Minh Nhựt 	Viet Nam	1992-07-26
3379	Trần Hữu Nhựt Minh 	Viet Nam	1991-03-18
3380	"Ngô, Mạnh Quyền "	Viet Nam	1987-01-07
3381	"Sun, Yalong "	China	1988-03-24
3382	"Ge, Yan "	China	
3383	"Chen, Xinlin "	China	
3384	"Liu, Zhihao "	China	1997-08-25
3385	"Liu, Mou "	China	
3386	"Ming, Kai "	China	1993-07-25
3387	"Feng, Zhuojun "	China	1991-07-24
3388	"Lin, Ying Hsuan "	"Taiwan, Republic of China"	1987-02-01
3389	"Qiu, Bo Jie "	"Taiwan, Republic of China"	1992-01-18
3390	"Lei, Huan "	China	
3391	"Ba, Gua "	China	
3392	"Jiao, Liu "	China	
3393	"Li, Wei Jun "	China	1994-10-27
3394	"Liu, Junjie "	China	
3395	"Chen, Ph-Chih "	China	
3396	"Siu, Keung "	China	
3397	"-, - "	China	
3398	"Luo, Sheng "	China	
3399	"Lo, Pun Wai "	Hong Kong	1993-08-11
3400	Jonathan Au 	United States	
3401	"Liu, Yan Cheng "	"Taiwan, Republic of China"	1990-05-10
3402	"Hu, Tao "	China	
3403	Marcus Sin Yik Tan 	Singapore	1992-05-27
3404	"Chen, Ke Wei "	"Taiwan, Republic of China"	
3405	"Zhang, Jin Yue "	China	
3406	"Huang, Bor Rong "	China	1984-10-16
3407	"Lu, Jia Hong "	"Taiwan, Republic of China"	1990-08-31
3408	"Su, Sheng Yong "	"Taiwan, Republic of China"	
3409	"Yang, Jue Hong "	"Taiwan, Republic of China"	
3410	"Cao, Zhi Wei "	"Taiwan, Republic of China"	
3411	Angelo Lopez 	Philippines	
3412	Gilbert Sales 	Philippines	
3413	Gideon Cruz 	Philippines	
3414	Jeffrey Cua 	Philippines	
3415	- - 	Philippines	
3416	"Tai, Ngee Shern "	Singapore	
3417	- - 	Singapore	
3418	Shen Jun 	Singapore	
3419	"Tan, Jun Yi "	Singapore	
3420	Igor Lisakovsky 	Russian Federation	1992-08-04
3421	Ilya Drugov 	Russian Federation	
3422	Vadim Musorin 	Russian Federation	
3423	Paul Chaloner 	United Kingdom	1971-11-11
3424	Josh Amos 	Canada	
3425	Steven Ashworth 	United States	1993-09-02
3426	Braxton Paulson 	United States	
3427	Alexander Reinhardt 	Germany	
3428	Sergey Kuzin 	Ukraine	1993-07-18
3429	Oleg Kolenischenko 	Russian Federation	1993-10-07
3430	Ilya Pevcaev 	Russian Federation	1991-08-13
3431	Niklas Högström 	Sweden	
3432	Hampus Olsson 	Sweden	1993-09-08
3433	David Siekas 	Sweden	
3434	Olle Sjöland Thulin 	Sweden	
3435	"Cho, Sung Ho "	"Korea, Republic of"	1994-03-24
3436	"Jung, Woo Yong "	"Korea, Republic of"	1992-09-08
3437	"Ha, Jae Sang "	"Korea, Republic of"	1992-05-03
3438	"Hwang, Wi Jin "	"Korea, Republic of"	
3439	"Lee, Sang Joon "	"Korea, Republic of"	1992-10-06
3440	"Hwang, Sung Woo "	"Korea, Republic of"	
3441	"Shin, Hee Bum "	"Korea, Republic of"	1996-09-03
3442	"Kim, Sung Hyun "	"Korea, Republic of"	1992-12-25
3443	Jonas Velling 	Denmark	1993-09-10
3444	Rasmus Steensborg 	Denmark	
3445	Frederik Nielsen 	Denmark	
3446	Nathan Mendes 	Brazil	
3447	Vito Giuseppe 	Brazil	
3448	Henrique Waku 	Brazil	
3449	Lorenzo Araújo 	Brazil	
3450	Jean-Michel D'Oliveira 	Brazil	
3451	Alexandru-Ionut Leoveanu 	Romania	
3452	Alexandru-Nicolae Stangu 	Romania	
3453	Horatiu-Andrei Toade 	Romania	
3454	Paul-Constantin Dordea 	Romania	
3455	Sorosh Ahmadi 	Romania	
3456	Andreas Løchte 	Denmark	1991-10-27
3457	Angelo Caula Gonzalez 	Germany	
3458	Marcel Binz 	Germany	
3459	Max Broecker 	Germany	
3460	Ryan Mendez 	United States	1989-05-02
3461	Raymond Soto 	United States	
3462	Chris Smith 	United States	1989-01-17
3463	Scott Lussier 	United States	1989-09-24
3464	"Shin, Jae Wook "	"Korea, Republic of"	1990-07-15
3465	Fabio Carrozzo 	Germany	
3466	Maurice Stückenschneider 	Germany	
3467	"Cha, No A "	"Korea, Republic of"	
3468	- - 	Canada	
3469	- - 	Canada	
3470	"Ho, Kun Xian "	Singapore	
3471	"Ryota, Inoue "	Japan	
3472	Kenny Lam 	Canada	1984-10-28
3473	- - 	Canada	1986-12-02
3474	"-, - "	Canada	
3475	- - 	Canada	
3476	- - 	Canada	
3477	Gustavo Romero 	United States	
3478	Edwyn Mcdougall 	Canada	
3479	- - 	United States	
3480	- - 	Canada	
3481	"Eu, Yoon Su "	"Korea, Republic of"	1992-09-24
3482	Dylan Bignet 	France	
3483	Jean Pierre Janssen 	Netherlands	
3484	Maikel Peeters 	Netherlands	
3485	Malik Terry 	United States	
3486	"-, - "	"Korea, Republic of"	
3487	Hoa Luu 	United States	
3488	- - 	United States	
3489	Derek Lee 	United States	
3490	Mohammed Kayyal 	United States	
3491	- - 	United States	
3492	Alexander Bergström 	Sweden	
3493	Coby Yamauchi 	United States	
3494	- - 	United States	
3495	Casey Current 	United States	
3496	Eze Izundu 	United Kingdom	
3497	Leonard Julius Haryadi 	Indonesia	
3498	Norman Chatrier 	France	
3499	Luca Cianfa 	Italy	
3500	Nilesh Gosai 	Norway	
3501	- - 	France	
3502	- - 	Australia	
3503	"Tai, Chin Hu "	Netherlands	
3504	Artur Wleklik 	Poland	
3505	Boris Cueto Ortiz 	Sweden	
3506	Loveneet Dogra 	India	
3507	José María Maté Moreno 	Spain	
3508	Igor Suslov 	Russian Federation	
3509	- - 	Bahrain	
3510	"Yoon, Seong Young "	"Korea, Republic of"	
3511	"Jung, Woo Gwang "	"Korea, Republic of"	
3512	"Choi, In Kyu "	"Korea, Republic of"	1994-01-03
3513	"Gu, Seung Bin "	"Korea, Republic of"	1995-06-07
3514	Vera Lynn 	Ireland	
3515	- - 	Russian Federation	
3516	- - 	Germany	
3517	Bastian Brouwers 	Germany	1993-10-27
3518	Gabriel Segat 	Germany	1997-07-04
3519	"Shin, Myong Rang "	"Korea, Republic of"	
3520	Erik Anderssen 	Sweden	
3521	"Son, Seok Hee "	"Korea, Republic of"	1990-05-27
3522	Jacky Mao 	Canada	1991-07-02
3523	Henrik Ahnberg 	Sweden	1990-12-19
3524	Gustav Magnusson 	Sweden	1992-04-01
3525	Robert Tinnes 	United States	
3526	"Lim, Chang Sheng "	Malaysia	
3527	Karim Bbahla 	Belgium	1992-07-29
3528	Natanyel Kazoula 	France	1993-11-21
3529	Josh Price 	United States	
3530	Michael Wunsch 	United States	
3531	Jung Hur 	United States	
3532	Henry Dickenson 	United Kingdom	1992-06-03
3533	Carlos Leonardo Cruz 	Brazil	1982-05-07
3534	- - 	Brazil	
3535	Patricio Del Olmo 	Argentina	1987-04-13
3536	Michael Gonzales Villafuerte 	Peru	
3537	- - 	Brazil	
3538	Lucas Paez 	Argentina	
3539	Diego Garcés 	Chile	1996-03-07
3540	Cody Kirkland 	Colombia	
3541	Juan Sebastián Jaimes 	Colombia	
3542	Diego Bongiorni 	Argentina	
3543	Rossel Gaspar 	Chile	
3544	- - 	Brazil	
3545	- - 	Chile	
3546	- - 	Chile	
3547	- - 	Chile	
3548	- - 	Chile	
3549	- - 	Chile	
3550	"Yoo, Chung Hee "	"Korea, Republic of"	1990-04-26
3551	Thomas Kopankiewicz 	Singapore	1995-11-23
3552	Jason Chan 	Singapore	1995-02-03
3553	"Wang, Poh Ann "	Singapore	1994-06-10
3554	Martin Larsson 	Sweden	1996-09-20
3555	Dennis Johnsen 	Denmark	1996-01-02
3556	Søren Bjerg 	Denmark	1996-02-21
3557	Christian Andersen 	Denmark	
3558	Jesper Strandgren 	Sweden	
3559	Niklas Lindström 	Sweden	1995-10-17
3560	- - 	Sweden	
3561	Angel Ionesi 	Spain	
3562	Klaidas Navakas 	Lithuania	1996-01-03
3563	Oskar Bogdan 	Poland	1994-04-18
3564	Pasi Piiparinen 	Finland	
3565	"Ong, Boon Yang "	Malaysia	1989-05-30
3566	"Muhammad, Diniebin Johari "	Malaysia	1989-10-13
3567	"Chaw, Khing Mun "	Malaysia	1991-12-10
3568	Jason Yoong 	Malaysia	1992-04-27
3569	"Soon, Liang Shin "	Malaysia	1992-06-29
3570	Femi Adeboye 	United Kingdom	
3571	Muhammad Berk 	Netherlands	
3572	Kai Hanbueckers 	Germany	
3573	Patrik Knutsen 	Sweden	1994-02-19
3574	André Kjellberg 	Sweden	
3575	Christian Schiölde 	Sweden	
3576	Simon Eliasson 	Sweden	1994-12-12
3577	Isak Rydman 	Sweden	
3578	Lasse Midtstue 	Norway	1988-05-25
3579	Sam Gawn 	United Kingdom	1988-06-22
3580	Pete Wright 	United Kingdom	
3581	James Smale 	United Kingdom	1987-03-20
3582	"Chao, Zhang "	China	
3583	Aliaksei Lipai 	Belarus	1993-05-12
3584	Oleg Zinovenko 	Belarus	
3585	Kirill Kachinsky 	Belarus	
3586	Artem Barshack 	Belarus	1995-09-24
3587	Maxim Doroschenok 	Belarus	
3588	"Li, Chen "	China	
3589	Viktor Malmberg 	Sweden	1994-10-20
3590	"Lee, Ho Jong "	"Korea, Republic of"	1992-08-13
3591	Keenan Santos 	United States	1994-09-08
3592	Kyle Easterling 	United States	
3593	"Lim, Yang "	Singapore	
3594	Timo Rintala 	Finland	
3595	Jonas Finnilä 	Finland	
3596	Simon Gutierrez 	Sweden	
3597	Filip Persson 	Sweden	
3598	Alioune Camara 	France	
3599	Benjamin Simon 	United Kingdom	
3600	Sareth Sok 	United States	
3601	"Ono, Ryouta "	Japan	
3602	Gregorio Siegfried Wilhelm III	United States	
3603	David-Paul Mattock 	United States	
3604	Saeed Fowzi 	United Kingdom	
3605	Du Cong Dang 	United States	
3606	Simone Demontis 	Italy	
3607	"Egami, Jo "	Japan	
3608	"Makino, Tatsuya "	Japan	
3609	Benoit Arquilla 	France	
3610	"Hattori, Akira "	Japan	
3611	Ali Naqvi 	United States	
3612	Kamel Osaid 	Belgium	
3613	Kevin de Koning 	Netherlands	1994-07-28
3614	Pavel Tomasek 	Czech Republic	
3615	"Choi, Jae Sung "	"Korea, Republic of"	1994-03-01
3616	"Han, Ji Won "	"Korea, Republic of"	1992-08-07
3617	"Kim, Dong Gyu "	"Korea, Republic of"	
3618	"Lee, Hee Chang "	"Korea, Republic of"	
3619	"Noh, Joon Kyu "	"Korea, Republic of"	1992-09-25
3620	"Park, Ryung Woo "	"Korea, Republic of"	1995-10-06
3621	Alan Nguyen 	United States	1993-11-08
3622	Artem Avramenko 	Russian Federation	1993-12-15
3623	Kevin Bentz 	United States	1994-12-09
3624	Dawid Dabrowski 	Poland	
3625	Lukasz Dabrowski 	Poland	
3626	Tymoteusz Holynski 	Poland	
3627	Jacek Kurczych 	Poland	
3628	"Im, Kyung Hyun "	"Korea, Republic of"	1991-11-10
3629	"Lee, Byung Kwon "	"Korea, Republic of"	1995-12-27
3630	"Bae, Eo Jin "	"Korea, Republic of"	1994-11-08
3631	"Choi, In Seok "	"Korea, Republic of"	1993-06-29
3632	"Seon, Ho San "	"Korea, Republic of"	
3633	"Son, Chang Hoon "	"Korea, Republic of"	
3634	"Yoon, Kyung Sup "	"Korea, Republic of"	
3635	"Cho, Hyun Chol "	"Korea, Republic of"	
3636	"Bae, Jun Sik "	"Korea, Republic of"	1996-05-18
3637	Marcin Maczka 	Poland	1994-02-25
3638	Remigiusz Pusch 	Poland	1991-04-15
3639	Krzysztof Sauć 	Poland	1994-07-23
3640	Bryan Reed 	Netherlands	
3641	"Chong, Xin Khoo "	Malaysia	1993-03-31
3642	Michael Ross 	United States	
3643	"Teh, Yuan Hing "	Singapore	
3644	Chester Lum 	Singapore	
3645	Shawn Ng 	Singapore	
3646	Jef Fortunato 	Philippines	
3647	Matt Schlenker 	United States	
3648	Brian Zhao 	Canada	
3649	Daisuke Katsumata 	United States	1986-12-14
3650	Arjen Jelgersma 	Netherlands	1996-07-18
3651	"Bang, Tae Su "	"Korea, Republic of"	1992-04-15
3652	"Doh, Yoo Hyun "	"Korea, Republic of"	1995-01-16
3653	"Yoon, Myung Hyuk "	"Korea, Republic of"	
3654	"Yang, Hee Soo "	"Korea, Republic of"	1991-12-14
3655	"Nam, Ki Woong "	"Korea, Republic of"	
3656	"Choi, Sung Il "	"Korea, Republic of"	
3657	"Kang, Min Soo "	"Korea, Republic of"	1996-05-09
3658	"Chen, Zhixi "	China	
3659	"Kim, Ae Jun "	"Korea, Republic of"	1994-10-01
3660	"Han, Jin Hui "	"Korea, Republic of"	1991-07-06
3661	"An, Sun Ho "	"Korea, Republic of"	
3662	Mateusz Kurdasiński 	Poland	1990-01-16
3663	"Kwon, Min Woo "	"Korea, Republic of"	
3664	"Song, Kyung Ho "	"Korea, Republic of"	1995-06-30
3665	Ali Bracamontes 	Mexico	1996-08-06
3666	Johnny Ru 	Canada	1997-05-08
3667	Dylan Newton 	United States	1992-01-30
3668	Tyson Kapler 	Canada	1995-07-05
3669	Christopher Lee 	United States	1993-05-28
3670	Nicolaj Jensen 	Denmark	
3671	Nichlas Busk 	Denmark	
3672	Lukas Rossander 	Denmark	
3673	Mathias Lauridsen 	Denmark	1994-12-06
3674	Jacob Winneche 	Denmark	
3675	Kirill Karasiow 	Ukraine	
3676	Dauren Kystaubayev 	Kazakhstan	
3677	Emil Akhundov 	Russian Federation	
3678	Adil Benrlitom 	Belgium	1994-07-02
3679	Andreas Højsleth 	Denmark	1995-09-11
3680	Sam Marine 	United States	
3681	Kory Friesen 	Canada	
3682	Carey Kertenian 	Armenia	
3683	Trey Martin 	United States	
3684	Andre Utesch 	Germany	
3685	Ted Hansson 	Sweden	1991-03-16
3686	Frederiek van Gammeren 	Netherlands	1988-11-04
3687	Niels Schou-Andreasen 	Denmark	
3688	Andreas Lykholt Svendsen 	Denmark	1994-10-19
3689	Dennis Christensen 	Denmark	1993-01-04
3690	Adrian Trinks 	Germany	1993-02-24
3691	Pascal Lohmeier 	Germany	
3692	Marcus Carter 	United States	1993-11-04
3693	Damon Barlow 	Canada	1993-07-17
3694	Adam Sloss 	United States	1993-04-26
3695	Chris Duarte 	United States	1994-07-21
3696	Seth Abner 	United States	1995-06-30
3697	William Johnson 	United States	1991-07-03
3698	Joseph Deluca 	United States	1993-06-14
3699	Matthew Haag 	United States	1992-08-03
3700	Tosh Mcgruder 	United States	
3701	Jordan Cannon 	United States	1994-01-06
3702	Jordan Kaplan 	United States	1994-04-15
3703	Raymond Lussier 	Canada	
3704	Tyler Polchow 	United States	1992-07-03
3705	Patrick Price 	United States	1994-07-18
3706	Aaron Chang 	United States	
3707	Joey Morehouse 	United States	
3708	Robert Walsh 	United States	1991-11-13
3709	Brandon Rodgers 	United States	1993-12-16
3710	Johnathan Perez 	United States	
3711	James Rossiter 	Ireland	
3712	Ashley Sowersby 	United Kingdom	1991-03-06
3713	Jordan Crowley 	Ireland	1995-01-11
3714	Darren McGee 	Ireland	
3715	Nicholas Ward 	United Kingdom	1990-09-10
3716	"Duc, Nguyen Ho "	United States	
3717	Dylan McGee 	United States	1993-05-27
3718	Chris Crowder 	United States	1996-10-17
3719	Derrek Jordan 	United States	
3720	Leonardo Nisi 	Italy	
3721	Francesco Majolo 	Italy	
3722	Luca Mancarella 	Italy	
3723	Callum Swan 	United Kingdom	1993-02-24
3724	Jerry Lundqvist 	Sweden	1991-06-04
3725	Arthur Zarzur 	Brazil	
3726	Danylo Nascimento 	Brazil	
3727	Mariano Lages 	Brazil	
3728	William Vicentini 	Brazil	
3729	Paulo Nóbrega 	Brazil	
3730	Lucas Mendes 	Brazil	
3731	Justin Dinh 	United States	1992-10-24
3732	Miles Hoard 	United States	
3733	Tony Pham 	United States	
3734	Tom Rahman 	Canada	
3735	"Yu, Jiankai "	China	
3736	"Zhou, XiXi "	China	
3737	Daniel Čechmánek 	Czech Republic	1993-10-01
3738	Vladimir Syzranov 	Russian Federation	1992-08-27
3739	Radosław Danowski 	Poland	
3740	Harry Cheong 	United States	1990-10-25
3741	Vasiliy Rudenko 	Ukraine	
3742	Maru Kim 	Canada	1995-03-20
3743	Max Angel 	United States	
3744	Eduard Ebel 	Germany	1990-01-08
3745	Alexandr Golik 	Ukraine	1983-11-26
3746	Mateusz Krawcyk 	Poland	
3747	Benjamin Oberlein 	Germany	
3748	André Kempa 	Germany	
3749	Christoph Dölger 	Germany	
3750	Azmican Berberoglu 	Germany	
3751	Simon Beck 	Germany	
3752	Tyler Latham 	United States	1993-07-21
3753	Cody Shirley 	United States	
3754	Todd Williams 	United States	
3755	Michael Wilbanks 	United States	
3756	Stan Sukachov 	Canada	
3757	Francis Lao 	United States	
3758	Christian Soboleske 	United States	
3759	Arya Hekmat 	United States	
3760	Jeff Mitchell 	United States	
3761	Eric Hoag 	United States	1990-04-26
3762	Braxton Pierce 	United States	
3763	Keven Lariviere 	Canada	
3764	Arjun Gill 	Canada	
3765	Jonathan Lawson 	Canada	
3766	Pujan Mehta 	Canada	
3767	Kyuhyun William Uhm 	United States	
3768	William Hartman 	United States	1993-06-13
3769	Zachary Scuderi 	United States	1994-03-19
3770	Stanislav Glushan 	Russian Federation	
3771	Vladimir Basov 	Russian Federation	
3772	Ivan Skorokhod 	Russian Federation	
3773	Alexei Berezin 	Russian Federation	1990-08-07
3774	Jonathan Arge 	Denmark	
3775	Riku Fält 	Finland	
3776	Eetu Seppälä 	Finland	
3777	Olli Vidberg 	Finland	
3778	Ari Raimi 	Finland	
3779	Antti Mäkinen 	Finland	1985-11-03
3780	Michal Zima 	Slovakia	
3781	Martin Zima 	Slovakia	
3782	Hugo Bos 	Netherlands	
3783	Artem Marzavin 	Russian Federation	
3784	Gleb Ushenko 	Russian Federation	
3785	Blake Campbell 	United States	
3786	- - 	United States	
3787	Carl Price 	United Kingdom	
3788	William Freestone 	United Kingdom	
3789	Thomas Jones 	United Kingdom	1992-04-07
3790	Paula Megna 	United States	
3791	Robert O'Neill 	United States	
3792	Joseph Walega 	United States	
3793	Sam Walley 	United Kingdom	1992-02-14
3794	Shane McKerral 	United Kingdom	
3795	Richie Atkins 	United Kingdom	
3796	Jack Anderson-Crook 	United Kingdom	1992-06-27
3797	Ellis Strouthos 	United Kingdom	1991-05-31
3798	Zak Talis 	United Kingdom	
3799	Thomas Trewren 	United Kingdom	1992-09-07
3800	Michael Gaetano 	United States	
3801	James Clayton Eubanks 	United States	1992-05-07
3802	Brandon Ferraro 	United States	
3803	Jordan Nickopoulos 	United States	
3804	Maxime Ebran 	France	
3805	Loann Graniczny 	France	
3806	John Le Mouel 	France	
3807	Julien Louis 	France	
3808	Dominik Braunheim 	Germany	
3809	Jakob Klamser 	Germany	
3810	Simon Kindle 	Germany	1987-12-15
3811	Tobias Sieber 	Germany	1994-02-23
3812	Christopher Pütz 	Germany	1996-12-28
3813	"Jiao, Wang "	China	1989-01-01
3814	Sam Morrissette 	Canada	1992-11-16
3815	Leiya Qual 	United States	1990-08-15
3816	Henry Luu 	Canada	
3817	Henry Zheng 	Canada	
3818	Alex Sunderhaft 	United States	1998-02-17
3819	Libo Chang 	United States	1997-08-12
3820	Gaspar Machado 	Portugal	
3821	Fadil Bin Mohd Raziff 	Malaysia	1996-03-30
3822	Jesse Vainikka 	Finland	1992-05-07
3823	"Hong, Deok "	"Korea, Republic of"	1995-08-21
3824	"Lee, Jae Sung "	"Korea, Republic of"	
3825	"Ji, Dong Won "	"Korea, Republic of"	1993-02-04
3826	"Park, Nam Kyu "	"Korea, Republic of"	
3827	"Kim, Min Gyu "	"Korea, Republic of"	1993-01-05
3828	"Lee, Soo Hyeong "	"Korea, Republic of"	
3829	"Kim, Min Hyung "	"Korea, Republic of"	
3830	"Cho, Se Hyeong "	"Korea, Republic of"	1994-02-27
3831	"Bae, Seong Ung "	"Korea, Republic of"	1993-11-21
3832	"Lee, Sang Hyeok "	"Korea, Republic of"	1996-05-07
3833	"Chae, Gwang Jin "	"Korea, Republic of"	1994-02-04
3834	"Lee, Jeong Hyeon "	"Korea, Republic of"	1991-01-29
3835	"Kim, Chan Ho "	"Korea, Republic of"	
3836	"Lee, Jae Wan "	"Korea, Republic of"	1996-09-09
3837	"Baek, Young Jin "	"Korea, Republic of"	
3838	"Yeon, Chang Dong "	"Korea, Republic of"	1989-11-02
3839	"Yeon, Hyeong Mo "	"Korea, Republic of"	
3840	"Cheon, Min Ki "	"Korea, Republic of"	
3841	"Kwon, Ji Min "	"Korea, Republic of"	
3842	"Lee, Ji Hoon "	"Korea, Republic of"	1992-11-23
3843	"Kim, Hyuk Kyu "	"Korea, Republic of"	1996-10-23
3844	"Kim, Ju Ho "	"Korea, Republic of"	
3845	Grzegorz Muśko 	Poland	
3846	Ilyas Hartsema 	Netherlands	
3847	Viktor Stymne 	Sweden	
3848	Peter Georgiev 	Bulgaria	1990-06-09
3849	Asım Cihat Karakaya 	Turkey	
3850	Muhammed Işık 	Turkey	
3851	Koray Bıçak 	Turkey	1996-08-27
3852	Anıl Işık 	Turkey	
3853	Kasım Polat 	Turkey	
3854	Eric Peugeot 	France	1993-06-18
3855	Lars Prußmeier 	Germany	1995-07-29
3856	Rasmus Oberg 	Sweden	
3857	Rim-Raimon Amanieu 	France	1989-11-11
3858	Aleš Kněžínek 	Czech Republic	1994-07-06
3859	Alfonso Aguirre Rodriguez 	Spain	1994-10-05
3860	Mattias Frisk 	Sweden	
3861	Niklas Josefsson 	Sweden	
3862	Erik Lövgren 	Sweden	
3863	Anton Zander 	Sweden	
3864	Anders Larsson 	Sweden	1997-05-01
3865	Laurynas Kisielius 	Lithuania	1990-08-13
3866	Gediminas Navakauskis 	Lithuania	
3867	Džiugas Repčys 	Lithuania	
3868	Edas Vasiliauskas 	Lithuania	
3869	Mykolas Morkūnas 	Lithuania	
3870	Kristian Husso 	Finland	1991-10-07
3871	Leonhard Wolff 	Germany	
3872	Baltat Alin 	Romania	
3873	Daniel Piszczkiewicz 	Sweden	1995-01-15
3874	Robert Burczyk 	Poland	
3875	Jesper Wecksell 	Sweden	1995-02-23
3876	Jonatan Lundberg 	Sweden	
3877	Martin Brandal 	Norway	
3878	Robin Rönnquist 	Sweden	1993-08-12
3879	Andreas Lindberg 	Sweden	1993-05-18
3880	Björn Ettelman 	Sweden	
3881	Richard Papillon 	France	1992-05-27
3882	Ladislav Kovács 	Slovakia	1991-07-09
3883	Peter Rasmussen 	Denmark	1993-03-26
3884	Henrik Christensen 	Denmark	
3885	Nicolai Reedtz 	Denmark	1995-09-08
3886	Søren Falke 	Denmark	
3887	Danni Dyg 	Denmark	
3888	Dan Madesclaire 	France	1993-02-22
3889	Vincent Schopenhauer 	France	1991-11-23
3890	Gordon Giry 	France	
3891	Mathieu Quiquerez 	Switzerland	
3892	"Cheng, Hor Siew "	Malaysia	
3893	"Jun, Liong Loh "	Malaysia	
3894	"Luo, Yinqi "	China	1990-10-25
3895	"Wang, Peng "	China	
3896	"Guo, Li "	China	1987-12-07
3897	"-, - "	Japan	
3898	Jose Rafael Llera 	Puerto Rico	
3899	Michael Ramos 	United States	
3900	Eddie Sayles 	United States	
3901	"-, - "	Japan	
3902	"-, - "	Japan	
3903	"-, - "	Japan	
3904	Michael Ramos 	United States	
3905	James Garrett 	United States	
3906	Matthew Szabo 	United States	
3907	Eduardo Rada 	United States	
3908	Lenin Castillo 	United States	
3909	Christian Quiles 	United States	
3910	Ryan Gonzalez 	United States	
3911	- - 	Sweden	
3912	Anthony Millare 	United States	
3913	"Tamura, Kouhei "	Japan	
3914	"Woo, Hee Sam "	Japan	
3915	Marvin Forestal 	France	
3916	Joseph Marquez 	United States	1991-12-10
3917	Robert Wright 	United States	1987-07-20
3918	Juan Manuel Debiedma 	United States	1993-06-21
3919	Adam Lindgren 	Sweden	1993-03-28
3920	Jason Sheldon Zimmerman 	United States	1989-02-05
3921	Kevin Nanney 	United States	1990-09-25
3922	Dajuan McDaniel 	United States	1990-08-30
3923	Mustafa Akcakaya 	Germany	1991-07-01
3924	Phillip Atkinson 	United States	
3925	Frank Amaral 	United States	
3926	Jivan Karapetian 	United States	
3927	Dustin Kane 	United States	
3928	Armando Mejia 	United States	
3929	Jonathon Morales 	United States	
3930	Vu Tra 	United States	
3931	Zack Fernandez 	Peru	
3932	"Haitani, Tatsuya "	Japan	
3933	"Naoto, Sako "	Japan	
3934	Petr Meluzin 	Czech Republic	
